Tiempo_InelasticoPeso,Posicion_1_InelasticoPeso,Velocidad_1_InelasticoPeso,Aceleracion_1_InelasticoPeso,Posicion_2_InelasticoPeso,Velocidad_2_InelasticoPeso,Aceleracion_2_InelasticoPeso
0.00,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.01,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.03,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.04,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.05,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.07,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.08,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.09,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.11,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.12,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.13,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.15,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.16,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.17,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.19,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.20,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.21,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.23,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.24,0.0000,0.000,0.000,-0.0,-0.0,-0.0
0.25,0.0000,0.000,0.000,-0.0,-0.0,-0.004
0.27,0.0000,0.000,0.000,-0.0,-0.0,-0.03
0.28,0.0000,0.000,0.000,-0.0,-0.0,-0.148
0.29,0.0000,0.000,0.000,-0.0,-0.002,-0.386
0.31,0.0000,0.000,0.000,-0.0,-0.008,-0.686
0.32,0.0000,0.000,0.000,-0.0,-0.027,-0.543
0.33,0.0000,0.000,0.000,-0.001,-0.029,0.013
0.35,0.0000,0.000,0.000,-0.001,-0.017,0.0
0.36,0.0000,0.000,0.000,-0.001,-0.029,-0.013
0.37,0.0000,0.000,0.000,-0.002,-0.027,0.543
0.39,0.0000,0.000,0.000,-0.002,-0.008,0.681
0.40,0.0000,0.000,0.000,-0.002,-0.002,0.356
0.41,0.0000,0.000,0.000,-0.002,-0.0,0.0
0.43,0.0000,0.000,0.000,-0.002,-0.002,-0.352
0.44,0.0000,0.000,0.000,-0.002,-0.008,-0.651
0.45,0.0000,0.000,0.000,-0.002,-0.027,-0.395
0.47,0.0000,0.000,0.000,-0.003,-0.027,0.391
0.48,0.0000,0.000,0.000,-0.003,-0.008,0.625
0.49,0.0000,0.000,0.000,-0.003,-0.002,0.234
0.51,0.0000,0.000,0.000,-0.003,-0.002,-0.234
0.52,0.0000,0.000,0.000,-0.003,-0.008,-0.625
0.53,0.0000,0.000,0.000,-0.003,-0.027,-0.391
0.55,0.0000,0.000,0.000,-0.004,-0.027,0.395
0.56,0.0000,0.000,0.000,-0.004,-0.008,0.655
0.57,0.0000,0.000,0.000,-0.004,-0.002,0.382
0.59,0.0000,0.000,0.000,-0.004,-0.0,0.148
0.60,0.0000,0.000,0.000,-0.004,-0.0,0.03
0.61,0.0000,0.000,0.000,-0.004,-0.0,0.004
0.63,0.0000,0.000,0.000,-0.004,-0.0,-0.0
0.64,0.0000,0.000,0.000,-0.004,-0.0,-0.0
0.65,0.0000,0.000,0.000,-0.004,-0.0,-0.004
0.67,0.0000,0.000,0.000,-0.004,-0.0,-0.03
0.68,0.0000,0.000,0.000,-0.004,-0.0,-0.148
0.69,0.0000,0.000,0.000,-0.004,-0.002,-0.382
0.71,0.0000,0.000,0.000,-0.004,-0.008,-0.655
0.72,0.0000,0.000,0.000,-0.004,-0.027,-0.395
0.73,0.0000,0.000,0.000,-0.005,-0.027,0.395
0.75,0.0000,0.000,0.000,-0.005,-0.008,0.655
0.76,0.0000,0.000,0.000,-0.005,-0.002,0.382
0.77,0.0000,0.000,0.000,-0.005,-0.0,0.148
0.79,0.0000,0.000,0.000,-0.005,-0.0,0.03
0.80,0.0000,0.000,0.000,-0.005,-0.0,0.004
0.81,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.83,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.84,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.85,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.87,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.88,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.89,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.91,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.92,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.93,0.0000,0.000,0.000,-0.005,-0.0,-0.0
0.95,0.0000,0.000,0.000,-0.005,-0.0,0.004
0.96,0.0000,0.000,0.000,-0.005,-0.0,0.03
0.97,0.0000,0.000,0.000,-0.005,-0.0,0.148
0.99,0.0000,0.000,0.000,-0.005,0.002,0.382
1.00,0.0000,0.000,0.000,-0.005,0.008,0.655
1.01,0.0000,0.000,0.000,-0.005,0.027,0.395
1.03,0.0000,0.000,0.000,-0.004,0.027,-0.395
1.04,0.0000,0.000,0.000,-0.004,0.008,-0.655
1.05,0.0000,0.000,0.000,-0.004,0.002,-0.382
1.07,0.0000,0.000,0.000,-0.004,-0.0,-0.148
1.08,0.0000,0.000,0.000,-0.004,-0.0,-0.03
1.09,0.0000,0.000,0.000,-0.004,-0.0,-0.004
1.11,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.12,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.13,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.15,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.16,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.17,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.19,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.20,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.21,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.23,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.24,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.25,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.27,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.28,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.29,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.31,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.32,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.33,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.35,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.36,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.37,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.39,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.40,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.41,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.43,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.44,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.45,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.47,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.48,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.49,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.51,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.52,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.53,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.55,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.56,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.57,0.0000,0.000,0.000,-0.004,-0.0,-0.0
1.59,0.0000,0.000,0.000,-0.004,-0.0,-0.004
1.60,0.0000,0.000,0.000,-0.004,-0.0,-0.03
1.61,0.0000,0.000,0.000,-0.004,-0.0,-0.148
1.63,0.0000,0.000,0.000,-0.004,-0.002,-0.386
1.64,0.0000,0.000,0.000,-0.004,-0.008,-0.69
1.65,0.0000,0.000,0.000,-0.004,-0.027,-0.577
1.67,0.0000,0.000,0.000,-0.005,-0.029,-0.165
1.68,0.0000,0.000,0.000,-0.005,-0.019,-0.534
1.69,0.0000,0.000,0.000,-0.005,-0.04,-1.085
1.71,0.0000,0.000,0.000,-0.006,-0.063,-0.694
1.72,0.0000,0.000,0.000,-0.007,-0.065,0.091
1.73,0.0000,0.000,0.000,-0.008,-0.048,0.065
1.75,0.0000,0.000,0.000,-0.008,-0.05,-0.846
1.76,0.0000,0.000,0.000,-0.009,-0.075,-1.497
1.77,0.0000,0.000,0.000,-0.01,-0.102,-1.341
1.79,0.0000,0.000,0.000,-0.012,-0.113,-0.977
1.80,0.0000,0.000,0.000,-0.013,-0.121,-1.024
1.81,0.0000,0.000,0.000,-0.015,-0.142,-1.02
1.83,0.0000,0.000,0.000,-0.017,-0.15,-0.955
1.84,0.0000,0.000,0.000,-0.019,-0.16,-1.254
1.85,0.0000,0.000,0.000,-0.021,-0.185,-1.411
1.87,0.0000,0.000,0.000,-0.024,-0.208,-0.951
1.88,0.0000,0.000,0.000,-0.027,-0.204,-0.829
1.89,0.0000,0.000,0.000,-0.029,-0.225,-1.003
1.91,0.0000,0.000,0.000,-0.033,-0.244,-0.447
1.92,0.0000,0.000,0.000,-0.036,-0.233,-0.148
1.93,0.0000,0.000,0.000,-0.039,-0.235,-0.608
1.95,0.0000,0.000,0.000,-0.042,-0.254,-0.872
1.96,0.0000,0.000,0.000,-0.046,-0.263,-0.946
1.97,0.0000,0.000,0.000,-0.049,-0.273,-1.337
1.99,0.0000,0.000,0.000,-0.053,-0.3,-1.493
2.00,0.0000,0.000,0.000,-0.057,-0.325,-0.812
2.01,0.0000,0.000,0.000,-0.062,-0.327,0.243
2.03,0.0000,0.000,0.000,-0.066,-0.308,0.625
2.04,0.0000,0.000,0.000,-0.07,-0.302,0.378
2.05,0.0000,0.000,0.000,-0.074,-0.3,0.148
2.07,0.0000,0.000,0.004,-0.078,-0.3,0.03
2.08,0.0000,0.000,0.035,-0.082,-0.3,0.004
2.09,0.0000,0.000,0.182,-0.086,-0.3,0.0
2.11,0.0000,0.002,0.573,-0.09,-0.3,0.0
2.12,0.0000,0.010,1.285,-0.094,-0.3,-0.0
2.13,0.0000,0.038,1.945,-0.098,-0.3,-0.0
2.15,0.0010,0.069,2.170,-0.102,-0.3,0.0
2.16,0.0020,0.092,2.474,-0.106,-0.3,0.0
2.17,0.0030,0.140,2.374,-0.11,-0.3,0.0
2.19,0.0060,0.169,1.428,-0.114,-0.3,-0.0
2.20,0.0080,0.167,1.168,-0.118,-0.3,-0.0
2.21,0.0100,0.190,1.597,-0.122,-0.3,-0.0
2.23,0.0130,0.217,1.671,-0.126,-0.3,0.0
2.24,0.0160,0.233,1.758,-0.13,-0.3,0.0
2.25,0.0190,0.263,1.793,-0.134,-0.3,0.0
2.27,0.0230,0.290,1.254,-0.138,-0.3,0.0
2.28,0.0270,0.298,0.569,-0.142,-0.3,-0.0
2.29,0.0310,0.300,0.182,-0.146,-0.3,-0.0
2.31,0.0350,0.300,0.035,-0.15,-0.3,-0.0
2.32,0.0390,0.300,0.004,-0.154,-0.3,0.004
2.33,0.0430,0.300,-0.000,-0.158,-0.3,0.03
2.35,0.0470,0.300,0.000,-0.162,-0.3,0.148
2.36,0.0510,0.300,0.000,-0.166,-0.298,0.382
2.37,0.0550,0.300,0.000,-0.17,-0.292,0.655
2.39,0.0590,0.300,-0.000,-0.174,-0.273,0.395
2.40,0.0630,0.300,-0.000,-0.177,-0.273,-0.395
2.41,0.0670,0.300,0.000,-0.181,-0.292,-0.655
2.43,0.0710,0.300,0.000,-0.185,-0.298,-0.382
2.44,0.0750,0.300,0.000,-0.189,-0.3,-0.148
2.45,0.0790,0.300,-0.000,-0.193,-0.3,-0.03
2.47,0.0830,0.300,-0.004,-0.197,-0.3,-0.004
2.48,0.0870,0.300,-0.030,-0.201,-0.3,0.0
2.49,0.0910,0.300,-0.148,-0.205,-0.3,0.004
2.51,0.0950,0.298,-0.382,-0.209,-0.3,0.03
2.52,0.0990,0.292,-0.655,-0.213,-0.3,0.148
2.53,0.1030,0.273,-0.395,-0.217,-0.298,0.382
2.55,0.1060,0.273,0.395,-0.221,-0.292,0.655
2.56,0.1100,0.292,0.655,-0.225,-0.273,0.395
2.57,0.1140,0.298,0.382,-0.228,-0.273,-0.395
2.59,0.1180,0.300,0.148,-0.232,-0.292,-0.655
2.60,0.1220,0.300,0.030,-0.236,-0.298,-0.378
2.61,0.1260,0.300,0.004,-0.24,-0.3,-0.117
2.63,0.1300,0.300,-0.000,-0.244,-0.3,0.117
2.64,0.1340,0.300,-0.004,-0.248,-0.3,0.378
2.65,0.1380,0.300,-0.030,-0.252,-0.292,0.655
2.67,0.1420,0.300,-0.148,-0.256,-0.273,0.399
2.68,0.1460,0.298,-0.382,-0.259,-0.273,-0.365
2.69,0.1500,0.292,-0.655,-0.263,-0.292,-0.508
2.71,0.1540,0.273,-0.399,-0.267,-0.296,0.004
2.72,0.1570,0.273,0.365,-0.271,-0.292,0.538
2.73,0.1610,0.292,0.508,-0.275,-0.273,0.512
2.75,0.1650,0.296,-0.000,-0.278,-0.271,-0.017
2.76,0.1690,0.292,-0.508,-0.282,-0.283,0.0
2.77,0.1730,0.273,-0.369,-0.286,-0.271,0.013
2.79,0.1760,0.273,0.369,-0.289,-0.273,-0.538
2.80,0.1800,0.292,0.508,-0.293,-0.292,-0.655
2.81,0.1840,0.296,0.000,-0.297,-0.298,-0.239
2.83,0.1880,0.292,-0.508,-0.301,-0.298,0.234
2.84,0.1920,0.273,-0.365,-0.305,-0.292,0.629
2.85,0.1950,0.273,0.399,-0.309,-0.273,0.421
2.87,0.1990,0.292,0.655,-0.312,-0.273,-0.247
2.88,0.2030,0.298,0.378,-0.316,-0.29,-0.269
2.89,0.2070,0.300,0.117,-0.32,-0.29,0.304
2.91,0.2110,0.300,-0.117,-0.324,-0.273,0.395
2.92,0.2150,0.298,-0.378,-0.327,-0.271,-0.039
2.93,0.2190,0.292,-0.655,-0.331,-0.283,0.026
2.95,0.2230,0.273,-0.395,-0.335,-0.271,0.161
2.96,0.2260,0.273,0.391,-0.338,-0.271,-0.161
2.97,0.2300,0.292,0.625,-0.342,-0.283,-0.026
2.99,0.2340,0.298,0.234,-0.346,-0.271,0.039
3.00,0.2380,0.298,-0.239,-0.349,-0.273,-0.395
3.01,0.2420,0.292,-0.655,-0.353,-0.29,-0.304
3.03,0.2460,0.273,-0.538,-0.357,-0.29,0.273
3.04,0.2490,0.271,0.009,-0.361,-0.273,0.278
3.05,0.2530,0.283,-0.030,-0.364,-0.273,-0.278
3.07,0.2570,0.271,-0.161,-0.368,-0.29,-0.273
3.08,0.2600,0.271,0.161,-0.372,-0.29,0.304
3.09,0.2640,0.283,0.030,-0.376,-0.273,0.399
3.11,0.2680,0.271,-0.009,-0.379,-0.271,-0.013
